;$I_{2928}$;$I_{3351}$;$I_{3725}$;$\overline{I}_{3800\text{–}2500}$;$\Sigma I_{p,\ 3800\text{–}2500}$;$\overline{I}_{2928 \pm 32}$;$\overline{I}_{3351 \pm 32}$;$\overline{I}_{3725 \pm 32}$;$\log I_{2928}$;$(I_{2928})^{-1}$;$\log I_{3351}$;$(I_{3351})^{-1}$;$\log I_{3725}$;$(I_{3725})^{-1}$;$\log \overline{I}_{3800\text{–}2500}$;$(\overline{I}_{3800\text{–}2500})^{-1}$;$\log \Sigma I_{p,\ 3800\text{–}2500}$;$(\Sigma I_{p,\ 3800\text{–}2500})^{-1}$;$\log \overline{I}_{2928 \pm 32}$;$(\overline{I}_{2928 \pm 32})^{-1}$;$\log \overline{I}_{3351 \pm 32}$;$(\overline{I}_{3351 \pm 32})^{-1}$;$\log \overline{I}_{3725 \pm 32}$;$(\overline{I}_{3725 \pm 32})^{-1}$;$\frac{I_{2928}}{I_{3351}}$;$\frac{I_{2928}}{I_{3725}}$;$\frac{I_{2928}}{\overline{I}_{3800\text{–}2500}}$;$\frac{I_{2928}}{\Sigma I_{p,\ 3800\text{–}2500}}$;$\frac{I_{2928}}{\overline{I}_{3351 \pm 32}}$;$\frac{I_{2928}}{\overline{I}_{3725 \pm 32}}$;$\frac{I_{3351}}{I_{3725}}$;$\frac{I_{3351}}{\overline{I}_{3800\text{–}2500}}$;$\frac{I_{3351}}{\Sigma I_{p,\ 3800\text{–}2500}}$;$\frac{I_{3351}}{\overline{I}_{2928 \pm 32}}$;$\frac{I_{3351}}{\overline{I}_{3725 \pm 32}}$;$\frac{I_{3725}}{\overline{I}_{3800\text{–}2500}}$;$\frac{I_{3725}}{\Sigma I_{p,\ 3800\text{–}2500}}$;$\frac{I_{3725}}{\overline{I}_{2928 \pm 32}}$;$\frac{I_{3725}}{\overline{I}_{3351 \pm 32}}$;$\frac{\overline{I}_{3800\text{–}2500}}{\overline{I}_{2928 \pm 32}}$;$\frac{\overline{I}_{3800\text{–}2500}}{\overline{I}_{3351 \pm 32}}$;$\frac{\overline{I}_{3800\text{–}2500}}{\overline{I}_{3725 \pm 32}}$;$\frac{\overline{I}_{2928 \pm 32}}{\overline{I}_{3351 \pm 32}}$;$\frac{\overline{I}_{2928 \pm 32}}{\overline{I}_{3725 \pm 32}}$;$\frac{\overline{I}_{3351 \pm 32}}{\overline{I}_{3725 \pm 32}}$;Split;Fraction_hue;Fraction_grouped_hue;Class
division_3_size_2.5;1.0;0.3943828865501456;0.0877098102051128;0.5523126313110456;1.4820926967552583;0.9717979036261792;0.3977266621016015;0.0823413125316923;0.0;1.0;-0.9304330482951143;2.5356069801797814;-2.4337215249122743;11.401233199130875;-0.5936410319562077;1.8105687672329018;0.39345507333567753;0.6747216298881287;-0.02860741421972106;1.0290205363363998;-0.9219902882773733;2.514289574442823;-2.4968823223776715;12.144572016812466;2.5356069801797814;11.401233199130875;1.8105687672329018;0.6747216298881287;2.514289574442823;12.144572016812466;4.4964512593045844;0.7140573367188504;0.2660986640130992;0.40582808943972837;4.789611367906624;0.15880464293730287;0.059179706098772135;0.09025519593922901;0.2205278613750738;0.5683410400970604;1.3886738907384444;6.707600526752185;2.4433813375526934;11.802069626375514;4.830220090899337;Train;$< 2.5$;$2 < d \leq 5$;1
division_3_size_2;1.0;0.4666230219164025;0.0764738292887029;0.6062976974808756;1.543096851205105;0.98261073853172;0.466328691822913;0.074252875385922;0.0;1.0;-0.762233580885434;2.143057571169633;-2.5708066974807444;13.076368861101676;-0.5003841635681441;1.6493547710224365;0.43379133952855997;0.6480474632678012;-0.01754223061636451;1.0176969992148306;-0.7628645462374878;2.1444101929283543;-2.600278776312827;13.467491929472072;2.143057571169633;13.076368861101676;1.6493547710224365;0.6480474632678012;2.1444101929283543;13.467491929472072;6.101734753660811;0.7696269074667254;0.3023938656552802;0.47488084916887896;6.2842417817650205;0.12613247519567747;0.04955867107691879;0.07782718658558017;0.16399125901895745;0.6170273473571483;1.3001509624269816;8.165309347681191;2.1071204833882784;13.233302190988532;6.28027789360635;Train;$< 2$;$d \leq 2$;0
division_3_size_0.4;1.0;0.5156444764199474;0.0260937279564991;0.606796741913204;1.5417382043764465;0.9825592688322512;0.513095359383209;0.0322247768273929;0.0;1.0;-0.6623377501557457;1.9393206864987096;-3.6460603017122377;38.323385668276366;-0.49956140081485095;1.6479983014527122;0.4329104840584765;0.6486185509066037;-0.017594612546973757;1.0177503095446616;-0.6672935653487309;1.9489554557696607;-3.435019655630273;31.032022513494738;1.9393206864987096;38.323385668276366;1.6479983014527122;0.6486185509066037;1.9489554557696607;31.032022513494738;19.76124213755808;0.8497812212935464;0.3344565730785007;0.5247973254913963;16.001491001223012;0.043002419350879666;0.01692487601489558;0.026556899704901146;0.05085551346218824;0.6175675719128555;1.1826198206949936;18.8301301561658;1.9149642476076647;30.490801351245345;15.922386743949415;Test;$< 0.4$;$d \leq 2$;0
division_3_size_0.2;1.0;0.4866601078786635;0.0695846505598086;0.6241112746415785;1.556244758438472;0.9856177542463098;0.4888969126181456;0.0633525913001133;0.0;1.0;-0.72018933000033;2.054822213308112;-2.6652112738976137;14.370985439389273;-0.47142660176455764;1.6022783766793687;0.44227571315354414;0.6425724453545436;-0.014486672722359793;1.0145921131105111;-0.7156036243732025;2.045420975650654;-2.759039468550951;15.784673988516262;2.054822213308112;14.370985439389273;1.6022783766793687;0.6425724453545436;2.045420975650654;15.784673988516262;6.993785324255886;0.7797649676464314;0.3127143755760988;0.49376150721920253;7.681771146080858;0.11149398094077125;0.04471317906935762;0.07060003765153272;0.14232990383835353;0.6332183769546936;1.2765702922919508;9.851393002774653;2.016003228509094;15.55765492807154;7.717078379669551;Test;$< 0.2$;$d \leq 2$;0
division_4_size_bulk;0.3213931830309646;1.0000000000000002;0.0016671906068434;0.4587623881661659;1.3230603736378084;0.3229485443162057;0.9636068381924808;0.0052622727178305;-1.1350900361371292;3.111453673563621;2.2204460492503128e-16;0.9999999999999998;-6.396615340512149;599.8114408126164;-0.7792228758010349;2.179777649160278;0.2799475179826359;0.7558234075520374;-1.130262273972536;3.0964685167333625;-0.03707191176132807;1.0377676458541794;-5.247192269917141;190.0319602615112;0.32139318303096454;192.7753081811558;0.7005656769633749;0.24291649076245928;0.33353144694762554;61.07497658606085;599.8114408126165;2.1797776491602785;0.7558234075520375;3.0964685167333634;190.03196026151122;0.003634104821687204;0.0012601016855031276;0.005162403225484178;0.001730156471254076;1.4205432916179428;0.4760887635736432;87.1795159174688;0.3351455505670629;61.37054494001008;183.11609638311396;Train;$> 0$;$d > 5$;2
division_4_size_5;0.3495507207179157;1.0;0.008739735051942;0.4551867361525884;1.358290455769858;0.3497857571040176;0.9662188302132824;0.0095298856958193;-1.05110660418128;2.860815157085575;0.0;1.0;-4.739875404197297;114.41994454715152;-0.7870475350994088;2.1969005697582067;0.3062268912220911;0.7362195587491008;-1.0504344344821297;2.858892849952792;-0.034364938112302394;1.0349622349827945;-4.653322555530737;104.93305291570219;0.3495507207179157;39.995574080960765;0.7679281775045808;0.2573460773673741;0.36177179515406066;36.67942427381489;114.41994454715152;2.1969005697582067;0.7362195587491008;2.858892849952792;104.93305291570219;0.019200328915147148;0.006434363883524789;0.024985966050478776;0.009045295722515362;1.301330105379983;0.4711010817830065;47.76413387122533;0.36201504893752295;36.70408735935483;101.38829163891823;Train;$< 5$;$2 < d \leq 5$;1
division_4_size_3;0.9336647966093174;1.0;0.0613368127375578;0.5880486491508611;1.9950016093468752;0.8902521346036567;0.9382017990556776;0.0528486862987197;-0.06863779530969052;1.0710482002015975;0.0;1.0;-2.7913750822336105;16.303422942413167;-0.5309455978548738;1.7005395751592904;0.6906448570316644;0.501252728476435;-0.116250559069577;1.1232772841878143;-0.063790215528674;1.0658687725887157;-2.9403224241419172;18.921946221097;0.9336647966093174;15.22193206556387;1.587733936567194;0.46800202678281605;0.9951641507712661;17.66675506997297;16.303422942413167;1.7005395751592904;0.501252728476435;1.1232772841878143;18.921946221097;0.1043056774743515;0.030745244740748995;0.06889824843258045;0.06537699330708463;0.6605416895884921;0.6267826918928806;11.12702491462133;0.9488919500044838;16.8453030141872;17.752603986267985;Train;$< 3$;$2 < d \leq 5$;1
division_4_size_2.5;0.8859987516398168;1.0;0.0639817475946039;0.4898356570693327;1.9499804992344207;0.822029530409991;0.972144149535916;0.0243408863223231;-0.12103973736245416;1.1286697618356554;0.0;1.0;-2.7491574301322745;15.629457424891253;-0.7136853378705788;2.041501033189295;0.6678193721330464;0.5128256412782634;-0.1959789594982653;1.2165013092671322;-0.028251183525668123;1.0286540329203049;-3.71559777785718;41.08313833596507;0.8859987516398168;13.847679767261315;1.8087673668771118;0.4543628779814299;0.9113861890366532;36.39960927911095;15.629457424891253;2.041501033189295;0.5128256412782634;1.2165013092671322;41.08313833596507;0.13061880381964056;0.03281148074030673;0.07783387971803483;0.06581508269647832;0.5958857181505692;0.5038714241125366;20.12398606126774;0.8455839916358218;33.771552914082065;39.93873257788315;Train;$< 2.5$;$2 < d \leq 5$;1
division_4_size_2;1.0;0.6562019936809418;0.0592841509489944;0.5130245209127532;1.715486144629936;0.938987258149469;0.6475967087629204;0.0542983396112799;0.0;1.0;-0.42128662023826113;1.5239210024195988;-2.8254132776894685;16.867914678585144;-0.6674316359035045;1.9492245677084579;0.5396965067054573;0.5829251394016474;-0.06295336946182156;1.0649771776145005;-0.43448713939830336;1.5441709114153195;-2.913261630570909;18.416769410611234;1.5239210024195988;16.867914678585144;1.9492245677084579;0.5829251394016474;1.5441709114153195;18.416769410611234;11.068759241327594;1.279085047462162;0.3825166386421019;0.6988401471753377;12.085120804405275;0.11555812350551656;0.03455822195625086;0.06313626775493207;0.09154486140339205;0.5463594063286952;0.7921975420362537;9.448254303639477;1.4499568102240374;17.293111812840856;11.926639256357465;Test;$< 2$;$d \leq 2$;0
division_4_size_0.4;1.0;0.3369001234877826;0.0356054372256574;0.3567769988189615;1.37250556071344;0.9227377753419204;0.3401401156460553;0.0418171733951987;0.0;1.0;-1.0879687620283418;2.9682387457963166;-3.335256921728561;28.085598097343308;-1.030644345547746;2.8028712705984375;0.3166379459149733;0.7285944979925557;-0.08041018523139722;1.0837315071765108;-1.078397641422469;2.9399648968208885;-3.174448177050765;23.913620142360376;2.9682387457963166;28.085598097343308;2.8028712705984375;0.7285944979925557;2.9399648968208885;23.913620142360376;9.462041467223191;0.9442876771849718;0.245463576346211;0.36510927859536724;8.056501579001136;0.09979745707689126;0.02594192566123331;0.038586734148240334;0.10467873557939247;0.3866504746559854;1.0489118525208545;8.531829625288001;2.712816668475845;22.06600065053335;8.133981520738296;Train;$< 0.4$;$d \leq 2$;0
division_4_size_0.2;1.0;0.2278276597879736;0.0568549842493111;0.3863678210003848;1.2846826440372847;0.9303920129450736;0.2321580481281036;0.0454708734643299;0.0;1.0;-1.4791658139705266;4.389282675030081;-2.867251388938097;17.588607458142366;-0.9509654590961727;2.5882072616989604;0.25051171822437407;0.7784023584668102;-0.07214926235335868;1.0748157616213714;-1.4603368973242985;4.307410438979075;-3.090683301645756;21.992100081043315;4.389282675030081;17.588607458142366;2.5882072616989604;0.7784023584668102;4.307410438979075;21.992100081043315;4.007171276117874;0.5896652034791134;0.1773415877029327;0.2448727596734255;5.010408695287003;0.14715248309784698;0.0442560538302571;0.06110863319789438;0.24489775266347352;0.4152742237945182;1.6642447854626563;8.497039787535092;4.007580268902365;20.461274263291404;5.105643029052925;Train;$< 0.2$;$d \leq 2$;0
division_5_size_bulk;0.4890956721787031;1.0;0.0025386781759633;0.5332584791636128;1.4916343503546663;0.4885596012072024;0.9934320732528288;0.0045744901170648;-0.715197160016757;2.044589753872583;0.0;1.0;-5.97611173657247;393.90577721437677;-0.6287490208408032;1.8752631961304134;0.39987239825732473;0.6704055854990398;-0.716293806329253;2.0468331755819724;-0.0065895904873891215;1.0066113496070905;-5.387260036287547;218.60359830477572;0.4890956721787031;192.65761088174008;0.9171831134233877;0.3278924704720099;0.49232925465879146;106.91807385355747;393.90577721437677;1.8752631961304134;0.6704055854990398;2.0468331755819724;218.60359830477572;0.0047606897502034656;0.0017019440289503106;0.00519625071268761;0.002555462264924484;1.0914911463124706;0.5367840374003089;116.57222237169802;0.4917896395346839;106.80088681024068;217.1678258844419;Train;$> 0$;$d > 5$;2
division_5_size_75;0.5035559983149885;1.0;0.0030681730352706;0.5340575647840459;1.506624171350259;0.500877183685018;0.9941286895437776;0.0042827214950217;-0.6860603549045405;1.98587645335618;0.0;1.0;-5.786672997044537;325.92685891713546;-0.627251646610801;1.8724573265886888;0.4098714999222429;0.6637355347244861;-0.691394350294842;1.9964974100893778;-0.0058886143637779526;1.0059059863355486;-5.45316660814103;233.49638802392712;0.5035559983149885;164.12242481968656;0.9428871183925818;0.33422800980532136;0.5065299931602204;117.57850677433255;325.92685891713546;1.8724573265886888;0.6637355347244861;1.9964974100893778;233.49638802392712;0.00574502307913429;0.002036455470192581;0.006125599518623818;0.0030862936232920065;1.0662445449299878;0.5372117014640568;124.70051237392917;0.5038353574876497;116.95301323404878;232.12545823943208;Train;$< 75$;$d > 5$;2
division_5_size_25;0.5722177663874805;1.0;0.0036858132533117;0.5330572274132128;1.575903579640792;0.558669735711722;0.9962251941921778;0.0032565935320149;-0.5582356495865579;1.7475864238071288;0.0;1.0;-5.6032640847966615;271.31054431515236;-0.6291264920747882;1.8759711876579148;0.454828809133119;0.634556588943048;-0.5821967931059057;1.7899663004405306;-0.003781948367448217;1.0037891089583246;-5.727073558752045;307.0693318552672;0.5722177663874805;155.24871366538804;1.0734640428088809;0.3631045539714495;0.5743859618522117;175.710527200317;271.31054431515236;1.8759711876579148;0.634556588943048;1.7899663004405306;307.0693318552672;0.006914479466300433;0.002338857085502551;0.006597481513145021;0.003699779201328535;0.9541544732759152;0.5350770393289038;163.68552666239648;0.5607865962120521;171.55034247275717;305.91020475797586;Train;$< 25$;$d > 5$;2
division_5_size_5;1.0;0.6777913874673094;0.0055410653337414;0.4471161584401648;1.6833324528010507;0.9307051483745272;0.5812334274720325;0.0074618639679026;0.0;1.0;-0.388915726488751;1.4753802106230378;-5.195568498200655;180.4707109137778;-0.804936855844675;2.2365552689678174;0.5207754315305372;0.5940597166863911;-0.07181275608284618;1.074454140225286;-0.5426028343631153;1.720479161615524;-4.897950034327549;134.0147722206577;1.4753802106230378;180.4707109137778;2.2365552689678174;0.5940597166863911;1.720479161615524;134.0147722206577;122.32149354746115;1.5159178989010182;0.40264855961130575;0.7282557624732917;90.83405840455501;0.012392898867874246;0.0032917237023031994;0.005953620589097254;0.009533287439852248;0.48040580759766005;0.7692540334178884;59.92017012953418;1.6012588133866583;124.7282384640057;77.89386538969661;Train;$< 5$;$2 < d \leq 5$;1
division_5_size_3;1.0;0.2587068177834752;0.0218130771516498;0.2834337522553803;1.280519894935125;0.9046155133201028;0.258701072048584;0.0260587690566588;0.0;1.0;-1.3520598361232081;3.8653793841527224;-3.825245619695053;45.84405918742035;-1.2607768612328476;3.528161314743408;0.24726616338573212;0.7809328101463531;-0.10024527271544213;1.1054420195932952;-1.3520820458150367;3.865465233990991;-3.647400943371927;38.37479805073409;3.8653793841527224;45.84405918742035;3.528161314743408;0.7809328101463531;3.865465233990991;38.37479805073409;11.86017066665481;0.9127593863640292;0.2020326422156698;0.2859853871331195;9.927821886788923;0.07696005496196416;0.017034547637977085;0.024113092060064123;0.08431769137606554;0.31331957951409334;1.0956033154827882;10.876713003562017;3.4967598168677716;34.7144376372201;9.92760139537282;Test;$< 3$;$2 < d \leq 5$;1
division_6_size_bulk;0.3907330541329539;1.0;0.0059400002754698;0.4830553269684499;1.3966730544084236;0.3899420015920861;0.97932145499128;0.0098558304650969;-0.9397306781629747;2.5592920522657705;0.0;1.0;-5.126046099232197;168.35016054286447;-0.7276240833008298;2.0701562412649133;0.3340930188175951;0.7159871788487829;-0.9417572647838943;2.5644839384244857;-0.02089533999820444;1.0211151761286636;-4.619692073526324;101.46278424140571;0.3907330541329539;65.77997239268655;0.8088784706818358;0.2797598571116225;0.39898345139026187;39.6448635674774;168.35016054286447;2.0701562412649133;0.7159871788487829;2.5644839384244857;101.46278424140571;0.012296728643379112;0.0042529640395946155;0.015233035300679322;0.006065424427490655;1.2387876273809781;0.4932551252772779;49.01213841686152;0.3981756956356666;39.56460117419971;99.36468149075975;Train;$> 0$;$d > 5$;2
