;$\overline{I}_{3800\text{–}2500}$;$I_{3375}$;$\overline{I}_{3375 \pm 32}$;$I_{3293}$;$\overline{I}_{3293 \pm 32}$;$I_{2928}$;$\overline{I}_{2928 \pm 32}$;$\overline{I}_{1800\text{–}900}$;$\overline{I}_{1800\text{–}1500}$;$I_{1722}$;$\overline{I}_{1722 \pm 32}$;$I_{1626}$;$\overline{I}_{1626 \pm 32}$;$I_{1550}$;$\overline{I}_{1550 \pm 32}$;$\overline{I}_{1500\text{–}1300}$;$I_{1396}$;$\overline{I}_{1396 \pm 32}$;$\overline{I}_{1300\text{–}900}$;$I_{1240}$;$\overline{I}_{1240 \pm 32}$;$I_{1155}$;$\overline{I}_{1155 \pm 32}$;$I_{1074}$;$\overline{I}_{1074 \pm 32}$;$I_{877}$;$\overline{I}_{877 \pm 32}$;$\Sigma I_{p,\ 3800\text{–}2500}$;$\Sigma I_{p,\ 1800\text{–}900}$;$\Sigma I_{p,\ 1800\text{–}1500}$;$\Sigma I_{p,\ 1500\text{–}1300}$;$\Sigma I_{p,\ 1300\text{–}900}$
division_2_size_2.5;0.27909425115745845;0.3167641662407009;0.3133188610523659;0.3598341175295755;0.3522856225069027;1.0;0.899418410176707;0.6094548790836855;0.45413083029869444;0.3309898364684341;0.3351158636448129;0.7085626802985161;0.6788161828644809;0.4985407649370753;0.5073201003858198;0.5478012014102501;0.6566439076215824;0.6362855316106646;0.7566069042656921;0.5666250578007841;0.5748862088816669;0.870669179343035;0.8651759568758084;1.0;0.9752355446521239;0.6260065525445246;0.634558621629941;1.6765982837702764;4.6320314264694264;1.5380932817040254;0.6566439076215824;2.437294237143819
division_2_size_2;0.23603118858868918;0.4008343033692588;0.4020675691127344;0.493965056454232;0.4757497735255632;1.0000000000000002;0.8938273310339605;0.5984261790166829;0.5215761299315437;0.3936541433097225;0.39888116245723987;0.8113227755765087;0.748912017656635;0.5994121229324053;0.5861962415839801;0.5090884046530795;0.594271420074247;0.5770730365296355;0.7005786719293186;0.5498318319117077;0.5597656670980721;0.7947614800174132;0.794598248143324;1.0;0.9675314677893413;0.4743473418629347;0.4861379938310797;1.894799359823491;4.743253773822005;1.8043890418186366;0.594271420074247;2.344593311929121
division_2_size_0.4;0.12269045593296787;0.0927613152328499;0.09376894385270673;0.1270674360934084;0.12098376825947435;1.0;0.8745740632914896;0.5567832749228786;0.4235513179497276;0.3533683764991221;0.3440102749734625;0.5743605249532522;0.5619807876052662;0.5563042802875021;0.531066226518766;0.47430780864095506;0.5436250360381703;0.5305506227203672;0.6977653475469945;0.5471323203741661;0.5505411618519023;0.8290693229411502;0.8296048668361011;0.9999999999999998;0.9565589196636922;0.4848590299755773;0.49567681152136917;1.2198287513262582;4.403859861093363;1.4840331817398766;0.5436250360381703;2.376201643315316
division_2_size_0.2;0.3021240173635342;0.3259033344322798;0.33155751800727457;0.3530479780528294;0.34883307714195416;1.0;0.9054956574404834;0.5624676747634885;0.42208243247899824;0.2366585625445072;0.25245846838821356;0.7492946351876641;0.7107732025414902;0.4604960203824814;0.4755063388387321;0.5078738897691301;0.6557523469058691;0.6294257875400697;0.694903153906401;0.4720812600137325;0.48044676813079507;0.7759302791397773;0.7777390536306892;1.0;0.970364016426694;0.4923533368360492;0.5058464036399524;1.6789513124851094;4.350213104174031;1.4464492181146529;0.6557523469058691;2.24801153915351
division_3_size_bulk;0.6147869433883898;1.0;0.9978440200175845;0.9933365673858782;0.9930699128602656;0.5892752429782996;0.5922944225036525;0.45461054594648465;0.20834483731010398;0.3295104651235271;0.28599145257825487;0.2112171019298568;0.2167142896390959;0.3550738857511708;0.21812694991096726;0.39546880287461444;0.4970539782721456;0.48251238925766415;0.6686610910110443;0.7803795802759811;0.7661611667954211;0.6758181550914041;0.6837883012859771;1.0;0.9241125198929143;0.0982269532659675;0.10490176222747771;2.5826118103641775;3.8490531664440857;0.8958014528045547;0.4970539782721456;2.456197735367385
division_3_size_5;0.6380921512470978;0.4839303927088138;0.48788262454050046;0.5869913988284736;0.5868365320924829;1.0000000000000002;0.9887469083669058;0.3371853279241401;0.11468283687987726;0.220664674529269;0.20527158178271074;0.1052053126879259;0.10704755980299882;0.0328058612217998;0.029385278705675845;0.1177811198195449;0.0614923340461006;0.07205462487982749;0.6133659201950252;0.7275871128366551;0.7341070196808389;0.9999999999999998;0.9010089481724705;0.7147870996634842;0.6221005674012339;0.4872682528998002;0.4377885587632432;2.0709217915372875;2.8625423949852347;0.3586758484389947;0.0614923340461006;2.4423742125001393
division_3_size_3;0.5744041107386435;0.3982005106824252;0.4016877271771656;0.4993313621010127;0.5041130192934229;1.0;0.9813341476672826;0.34841794833235856;0.1082678552566368;0.1958307286356425;0.1864445650908879;0.1190727400589691;0.11552423688299276;0.0210888764717199;0.019929506051577953;0.1011528181950482;0.059328146308991;0.06798689161502386;0.6517205046816895;0.64349780198859;0.6511166420500571;1.0;0.9473680154081218;0.8251401891888579;0.7550943332999143;0.5959208462345771;0.5474930178651256;1.8975318727834378;2.8639584826527704;0.3359923451663315;0.059328146308991;2.468637991177448
division_3_size_2.5;0.5523126313110456;0.3629262241692185;0.3678582159329844;0.4694916784803574;0.4690293279752463;1.0;0.9717979036261793;0.35987432207467324;0.13831583329664213;0.2751687831801861;0.2540847497097428;0.1065049429291322;0.11009657218701757;0.0734560941762907;0.0633903936982228;0.15114518712655287;0.098014249365347;0.11202254018996688;0.6300228062776332;0.743575194228373;0.7495047465220214;1.0000000000000002;0.8907618370231905;0.7391642855667737;0.6680837168407681;0.5212982439328451;0.4838185759302953;1.832417902649576;3.035883549446103;0.455129820285609;0.098014249365347;2.482739479795147
division_3_size_2;0.6062976974808756;0.4536094038264033;0.4497870044451212;0.5238114721306981;0.5242313085749313;1.0;0.9826107385317199;0.3424534422931366;0.10460440682710835;0.1881183592619435;0.1682490848595327;0.0971702571442816;0.09847809075318859;0.0495395073508939;0.046761473989690445;0.15067284614220183;0.0936632679328759;0.1050605778194433;0.6163561734574194;0.7506340547788457;0.7562273469371601;0.916597372114901;0.8782038104497167;0.6764557613809328;0.6099810186366529;0.547908140320039;0.5094764639937969;1.9774208759571015;2.7721785799646743;0.334828123757119;0.0936632679328759;2.3436871882746795
division_3_size_0.4;0.606796741913204;0.4644195481025496;0.4733406632407122;0.6182753921399198;0.6120577945985393;1.0;0.9825592688322511;0.37459372118595274;0.17390862002557833;0.1965093670638295;0.19350083867090975;0.2998986504728019;0.2182639841251013;0.1674758407900421;0.14250611351014714;0.18490035827472054;0.1301099591842273;0.1400471165527285;0.6196047876522215;0.769266337132705;0.7722022638505353;0.918810391685758;0.8805076431413028;0.691796394037362;0.6049210706607006;0.5302324041941163;0.4872395509708615;2.0826949402424693;3.1738669403667257;0.6638838583266735;0.1301099591842273;2.379873122855825
