;$I_{874}$;$I_{1084}$;$I_{1182}$;$I_{1241}$;$I_{1393}$;$I_{1541}$;$I_{1625}$;$I_{1725}$;$\overline{I}_{1900\text{–}800}$;$\Sigma I_{p,\ 1900\text{–}800}$;$\overline{I}_{1900\text{–}1500}$;$\Sigma I_{p,\ 1900\text{–}1500}$;$\overline{I}_{1500\text{–}1300}$;$\Sigma I_{p,\ 1500\text{–}1300}$;$\overline{I}_{1300\text{–}800}$;$\Sigma I_{p,\ 1300\text{–}800}$;$\overline{I}_{874 \pm 16}$;$\overline{I}_{874 \pm 32}$;$\overline{I}_{1084 \pm 16}$;$\overline{I}_{1084 \pm 32}$;$\overline{I}_{1182 \pm 16}$;$\overline{I}_{1182 \pm 32}$;$\overline{I}_{1241 \pm 16}$;$\overline{I}_{1241 \pm 32}$;$\overline{I}_{1393 \pm 16}$;$\overline{I}_{1393 \pm 32}$;$\overline{I}_{1541 \pm 16}$;$\overline{I}_{1541 \pm 32}$;$\overline{I}_{1625 \pm 16}$;$\overline{I}_{1625 \pm 32}$;$\overline{I}_{1725 \pm 16}$;$\overline{I}_{1725 \pm 32}$;Split;Fraction_hue;Fraction_grouped_hue;Class
division_2_size_2.5;0.6246779321783067;1.0;0.762919522592689;0.564823825864851;0.6566439076215824;0.4789642914506525;0.7085626802985161;0.3238907588003225;0.5600935525691383;5.120482918806919;0.35088301309917175;1.511417730549491;0.5478012014102501;0.6566439076215824;0.7322840931662965;2.9524212806358463;0.6277848749290267;0.6330542452931637;0.9963036386769751;0.9842218200568835;0.7629974193912799;0.7639915047359447;0.5664810339550433;0.5721125738467926;0.6487608476248231;0.6356480869666192;0.47806722784701183;0.48156354092892734;0.6997828325095307;0.6792091602560965;0.32382345980614596;0.32716971021239316;Train;$< 2.5$;$2 < d \leq 5$;1
division_2_size_2;0.4720589927858185;1.0;0.724144427226122;0.5477056288881741;0.594271420074247;0.592466475830963;0.8113227755765087;0.3866468220334985;0.5383656783050048;5.128616542415332;0.4043882820119524;1.79043607344097;0.5090884046530795;0.594271420074247;0.657173029186632;2.7439090489001146;0.4763941450325981;0.48394249480125534;0.9864134922221316;0.9667037715240243;0.7236219900198109;0.7219100628245355;0.5500614119257305;0.5569226589758169;0.5871543495042452;0.5757880496747665;0.5850363447629726;0.5708663898277506;0.7673093778300006;0.7465969438896289;0.3855795369735642;0.38942671227035336;Train;$< 2$;$d \leq 2$;0
division_2_size_0.4;0.4823783198023962;0.9999999999999998;0.7456154827840621;0.5446679621165755;0.5436250360381703;0.5343626048605259;0.5719442296019672;0.3513195196462562;0.5023546386085014;4.773913154849953;0.32132600292646185;1.4576263541087493;0.47430780864095506;0.5436250360381703;0.6582940945070133;2.7726617647030336;0.48657288765626194;0.49409766667581173;0.9920443609157921;0.9695790103995484;0.7438393240928886;0.7414627964213621;0.5445760288261209;0.5467132809784979;0.5344646634133482;0.5281158744069095;0.5242602229483834;0.5083729464077459;0.5704168787437921;0.5619945256015262;0.34773247527756107;0.34010978688194465;Train;$< 0.4$;$d \leq 2$;0
division_2_size_0.2;0.4877644003271321;1.0;0.6736698088241262;0.4703347640740148;0.6557523469058691;0.4293526203365374;0.7492946351876641;0.2292102006923148;0.5065063911406483;4.695378776347658;0.32054548501880903;1.4078574562165165;0.5078738897691301;0.6557523469058691;0.6546580362744966;2.6317689732252734;0.49295188569913073;0.502077862572968;0.9918109112762564;0.9727946556985915;0.6731224721903323;0.6728984506878302;0.47157105524582793;0.4776530129273058;0.6467156472921501;0.6293098540883154;0.4311016703750234;0.43877253728303794;0.738509707464794;0.7118888219650058;0.2329903196729323;0.24348015012347848;Test;$< 0.2$;$d \leq 2$;0
division_3_size_bulk;0.0978119380526035;0.9045271646109104;0.7043560072294102;0.7803795802759811;0.507825194973837;0.1723452632312035;0.2163845932918024;0.3295104651235271;0.3816800123915817;3.7131402067892756;0.16151030778240216;0.718240321646533;0.39546880287461444;0.507825194973837;0.5522313568671546;2.4870746901689054;0.0989500643059005;0.1028008782828058;0.899573780759035;0.885637712110673;0.7052604877139008;0.7072537723931115;0.7765477586826902;0.7654126193944624;0.5022093064302049;0.4908398541024045;0.1728644317051499;0.17568790455418423;0.21778873456404335;0.22047809098896673;0.31565240441390874;0.28990317754320016;Test;$> 0$;$d > 5$;2
division_3_size_5;0.4872682528998002;0.7147870996634842;0.9999999999999998;0.7224276381082022;0.0682708301227379;0.030100995687341;0.1031109675737507;0.220664674529269;0.3101894896789558;3.3466304585845847;0.09754838086077078;0.3538766377903607;0.1177811198195449;0.0682708301227379;0.556961344631644;2.9244829906714864;0.4609667416433616;0.432585365633272;0.5774332408755978;0.6030529553483032;0.9856002581343541;0.9607773516996545;0.7241634129196541;0.726386438106621;0.06978455498380193;0.07676697312673617;0.029505724342020843;0.026753694649390484;0.10349786436056996;0.10507234982589089;0.20954999013057884;0.20289127304572113;Train;$< 5$;$2 < d \leq 5$;1
division_3_size_3;0.5959208462345771;0.8251401891888579;1.0;0.6376152665769321;0.0596157443860352;0.0195935611526369;0.1168299105651062;0.1958307286356425;0.3309567427527786;3.4505462467397874;0.09265615360387863;0.3322542003533856;0.1011528181950482;0.0596157443860352;0.6131612839478529;3.058676302000367;0.5840946195440759;0.5486934110088519;0.7202666478993848;0.7408707828159437;0.9635096008390341;0.9453263230804528;0.6396552632091029;0.6424170566538338;0.06214536875075392;0.06936603247039387;0.01847327608177409;0.01640256264519116;0.1158570641912706;0.11361360896724619;0.18969628352775883;0.18485299505265698;Train;$< 3$;$2 < d \leq 5$;1
division_3_size_2.5;0.5212982439328451;0.7391642855667736;1.0000000000000002;0.7380876859542307;0.1058398744012896;0.0794280032762368;0.1027999350546795;0.2751687831801861;0.33631862494430637;3.5617868113662414;0.11261760636983342;0.45739672151110244;0.15114518712655287;0.1058398744012896;0.5890485369610327;2.9985502154538493;0.5104518729851578;0.4853838946532958;0.6353645798055002;0.648623366720585;0.9882215266178466;0.9612490291464298;0.7415550617222753;0.7414937765525195;0.10716572126910812;0.11543395165426255;0.07452574397964672;0.065604087892812;0.10544926193397523;0.10786987487398672;0.26718779796168884;0.25303789929322495;Train;$< 2.5$;$2 < d \leq 5$;1
division_3_size_2;0.547908140320039;0.6764557613809328;1.0;0.7454006882035387;0.1006009853172973;0.0544863493418759;0.0947028272893724;0.1881183592619435;0.32135865936031066;3.4076731111149994;0.08504882582486178;0.33730753589319185;0.15067284614220183;0.1006009853172973;0.5783924633166857;2.9697645899045106;0.5314818036559145;0.5066546623734073;0.5767327183574279;0.5937722646164217;0.9890793313113709;0.9619743764158277;0.7472756412941314;0.7482321360898868;0.10140255493034962;0.1092218467542232;0.05227933805890943;0.048346032418833146;0.0953483032057965;0.0966936938368525;0.16855318261728608;0.1654571748863006;Train;$< 2$;$d \leq 2$;0
division_3_size_0.4;0.5302324041941163;0.5573232995983749;1.0;0.7641129692990473;0.1349756236135569;0.1674758407900421;0.2246616843903869;0.1912509277847752;0.3441202072384866;3.5700327496702995;0.13574434182927758;0.5833884529652043;0.18490035827472054;0.1349756236135569;0.5742444709770632;2.851668673091538;0.5120391675396551;0.4840331371416495;0.563098792958621;0.5841428907965611;0.9911002758675632;0.9648754802497148;0.7647433539521311;0.7644976125762661;0.13670387405122703;0.14349260180736254;0.15988441873128548;0.14844483102783626;0.22214898921634016;0.21534313651558507;0.1891181797974535;0.18785547331203728;Test;$< 0.4$;$d \leq 2$;0
division_3_size_0.2;0.5561090045690049;0.6187356050232802;1.0000000000000002;0.717708671703881;0.1161287903917709;0.0597561411799605;0.0986020530302074;0.175896454995188;0.3297964231077751;3.342936720893293;0.0875581683361067;0.33425464920535586;0.16129962634470812;0.1161287903917709;0.5906976035705838;2.8925532812961663;0.5426655053244959;0.514586062482901;0.6228536371910041;0.6400030648707066;0.9855416506669303;0.9620039374918877;0.7194596926655565;0.7219987203816792;0.11790723268758815;0.12495700977445531;0.05819276395866542;0.055394250209764725;0.09908122574542179;0.09967790234780044;0.16832713165646268;0.16399049722889852;Test;$< 0.2$;$d \leq 2$;0
division_4_size_bulk;0.3672503929084588;0.9078675560908572;0.817575716832792;0.9173141061541052;1.0000000000000002;0.5329694090228501;0.9233968917126578;0.41858567642204;0.5981341273252968;5.8849597491437615;0.40504699019486096;1.8749519771575478;0.800114010770715;1.0000000000000002;0.6719709790322895;3.0100077719862135;0.3689238970086078;0.37244511850765105;0.9003393805036416;0.8832989759212451;0.8200861327294557;0.8254510140974184;0.9129693295556197;0.901723377599201;0.9769550955441711;0.9580720954219826;0.537994379937658;0.5536161400578277;0.851408524810153;0.8254385750175807;0.41203066495108215;0.39802266860183527;Train;$> 0$;$d > 5$;2
division_4_size_5;0.4766727097952227;0.9487569625412224;0.8714534440987852;0.965968614563561;1.0;0.5146813064517625;0.9077722010401184;0.4681471022546136;0.6348428195058338;6.153452340745286;0.4178504578348708;1.8906006097464945;0.8079579438729432;1.0;0.73930717278032;3.2628517309987912;0.4787124726064837;0.4811146913912589;0.9422975109471783;0.9253485524032241;0.8740339853171388;0.8796062012143384;0.9616221722556236;0.950806932767307;0.9805836673005071;0.9629997561526207;0.5195350873539158;0.5347870751539321;0.8476875840005124;0.8231178662535725;0.46111161189766525;0.4456332316688717;Train;$< 5$;$2 < d \leq 5$;1
division_4_size_3;0.509397613454978;0.7869951662936687;0.6789433815972714;0.7268473992575892;0.7928795390953213;0.8186430885144598;1.0;0.2882468899297108;0.588897490484001;5.601953078143;0.4690778206130386;2.106889978444171;0.6930115491169632;0.7928795390953213;0.6431817927179638;2.7021835606035074;0.5119956315309898;0.5150568285429616;0.7819793193699213;0.7753845129532898;0.6817934797895273;0.6883359885177168;0.7232622663470726;0.7158207414587516;0.7873110672807203;0.7743097188133067;0.8102864863048791;0.7938707242789008;0.9793858788894404;0.9509831198992633;0.2906624081057765;0.30664373242333137;Train;$< 3$;$2 < d \leq 5$;1
division_4_size_2.5;0.4674791695642933;0.8638769424577957;0.6945118130152952;0.7352679506227983;0.7857574204256514;0.7946534406892849;1.0;0.3444306545669475;0.5857805009413658;5.685977391342066;0.4647311815607931;2.139084095256232;0.6814218924220672;0.7857574204256514;0.6444273207996167;2.7611358756601825;0.4669844115407572;0.4681626826090831;0.8578180985578802;0.8449002104678749;0.6969882711193748;0.7028124346633228;0.7325050073000828;0.7243171500223882;0.7806291786521984;0.7685168864273176;0.7790378389436207;0.7578781039878199;0.9395587755093189;0.9169076286325507;0.34806619355320567;0.36274943674769644;Train;$< 2.5$;$2 < d \leq 5$;1
