;$I_{2928}$;$I_{3355}$;$I_{3725}$;$\overline{I}_{3800\text{–}2500}$;$\Sigma I_{p,\ 3800\text{–}2500}$;$\overline{I}_{2928 \pm 50}$;$\overline{I}_{3355 \pm 50}$;$\overline{I}_{3725 \pm 50}$;Split;Fraction_hue;Fraction_grouped_hue;Class
division_2_size_0.4;1.0;0.1271094231510702;0.0279735902900369;0.12269045593296787;1.155083013441107;0.7554614683113593;0.10004207326057991;0.02151610157458362;Train;$< 0.4$;$d \leq 2$;0
division_2_size_0.2;1.0;0.3266074752413436;0.0689265273017526;0.3021240173635342;1.3955340025430962;0.8146109656971446;0.33591528416437166;0.05139843745496489;Test;$< 0.2$;$d \leq 2$;0
division_3_size_bulk;0.5892752429782996;1.0;0.0060235287749736;0.6147869433883898;1.5952987717532732;0.5968285565688453;0.9980311597287768;0.01485703591987982;Train;$> 0$;$d > 5$;2
division_3_size_5;1.0;0.504236219949203;0.0643589618391748;0.6509040080710574;1.5685951817883779;0.9800283114305887;0.5097051885973056;0.0688322521652839;Train;$< 5$;$2 < d \leq 5$;1
division_3_size_3;1.0;0.4339865890910397;0.0419524068794973;0.5744041107386435;1.475938995970537;0.9621646607351917;0.4270126210489227;0.043409653727173966;Train;$< 3$;$2 < d \leq 5$;1
division_3_size_2.5;1.0;0.3840496735382382;0.0877098102051128;0.5523126313110456;1.471759483743351;0.941261477756674;0.39512487125904644;0.0749536562509214;Test;$< 2.5$;$2 < d \leq 5$;1
division_3_size_2;1.0;0.4611234903170411;0.0764738292887029;0.6062976974808756;1.537597319605744;0.9645932373728959;0.4639819273208538;0.06872850820320628;Train;$< 2$;$d \leq 2$;0
division_3_size_0.4;1.0;0.5050326283684442;0.0260937279564991;0.606796741913204;1.5311263563249433;0.9652345970727862;0.5073631083674722;0.033418590237717705;Train;$< 0.4$;$d \leq 2$;0
division_3_size_0.2;1.0;0.4813018511049289;0.0695846505598086;0.6241112746415785;1.5508865016647375;0.9718245864278047;0.4844506788272227;0.060675398078352344;Test;$< 0.2$;$d \leq 2$;0
division_4_size_bulk;0.3213931830309646;1.0000000000000002;0.0016671906068434;0.45876238816616594;1.3230603736378084;0.32513259759605717;0.9643696293358435;0.01333069463155193;Train;$> 0$;$d > 5$;2
division_4_size_5;0.3495507207179157;1.0;0.008739735051942;0.4551867361525884;1.3582904557698579;0.34762842833582097;0.9648668901636546;0.018784929394242058;Train;$< 5$;$2 < d \leq 5$;1
division_4_size_3;0.9336647966093174;0.9332849335426442;0.0613368127375578;0.5880486491508611;1.9282865428895193;0.8476298071445263;0.9267217796606201;0.050126089259510856;Test;$< 3$;$2 < d \leq 5$;1
division_4_size_2.5;0.8859987516398168;1.0;0.0639817475946039;0.48983565706933274;1.9499804992344207;0.7580188471131571;0.9626207353600224;0.033583468059248694;Train;$< 2.5$;$2 < d \leq 5$;1
division_4_size_2;1.0;0.6562019936809418;0.0592841509489944;0.5130245209127532;1.715486144629936;0.878414133560856;0.6418605655410473;0.05223915353762017;Train;$< 2$;$d \leq 2$;0
division_4_size_0.4;1.0;0.331691278050587;0.0356054372256574;0.3567769988189615;1.3672967152762443;0.8430509504078801;0.3345552922949824;0.04092425454226856;Train;$< 0.4$;$d \leq 2$;0
division_4_size_0.2;1.0;0.2232922128326336;0.0568549842493111;0.3863678210003848;1.2801471970819447;0.8626171761786856;0.23244677805094083;0.04394993267988219;Train;$< 0.2$;$d \leq 2$;0
division_5_size_bulk;0.4890956721787031;1.0;0.0025386781759633;0.5332584791636128;1.4916343503546665;0.4898608725524812;0.9900206189851128;0.01218630057218336;Train;$> 0$;$d > 5$;2
division_5_size_75;0.5035559983149885;1.0;0.0030681730352706;0.5340575647840459;1.506624171350259;0.5004156502523007;0.9895384050192548;0.011687668441739605;Train;$< 75$;$d > 5$;2
division_5_size_25;0.5722177663874805;1.0;0.0036858132533117;0.5330572274132128;1.575903579640792;0.5490738160134101;0.9920379431290112;0.009652008256109483;Test;$< 25$;$d > 5$;2
