;division_1_size_0.2;division_1_size_0.4;division_1_size_2;division_1_size_2.5;division_1_size_3;division_1_size_5;division_1_size_bulk;division_2_size_0.2;division_2_size_0.4;division_2_size_2;division_2_size_2.5;division_2_size_3;division_2_size_5;division_2_size_bulk;division_5_size_25;division_5_size_3;division_5_size_5;division_5_size_75;division_5_size_bulk;division_6_size_25;division_6_size_3;division_6_size_5;division_6_size_75;division_6_size_bulk;division_7_size_0.4;division_7_size_2;division_7_size_2.5;division_7_size_25;division_7_size_3;division_7_size_5;division_7_size_75;division_7_size_bulk;division_8_size_0.2;division_8_size_0.4;division_8_size_2;division_8_size_2.5;division_8_size_25;division_8_size_3;division_8_size_5;division_8_size_70;division_8_size_bulk;division_9_size_0.2;division_9_size_0.4;division_9_size_2;division_9_size_2.5;division_9_size_25;division_9_size_3;division_9_size_5;division_9_size_70;division_9_size_bulk
1890.18065;0.00013577889031281265;0.005666168085873148;0.005487483589193043;0.007756312123574527;0.0013636377000982441;0.013645437432431018;0.0014825128829271117;0.007674434444552125;0.017855227065578252;0.003983284511151732;0.0007604166997484778;0.011308219568550923;0.003638413868908591;0.0010274776813468944;0.0;0.06713880584352477;0.03942382790132459;0.0;0.0019720871598691153;0.0008205580687132841;0.007094818192253161;0.007091313237232819;0.0010300732532126933;0.000819825924617712;0.013522808023203048;0.0047512998408678064;0.008864703326588425;0.0029682067369914064;0.0265678220441925;0.05043109015709063;0.002921575929919741;0.002338398158501037;0.04929500287413424;0.05933057142382253;0.038023707136554716;0.03004790167262003;0.0016303913263165382;0.03598096291706129;0.03970880122664222;0.0004891902549192528;0.0016605736976053123;0.0016199645664530735;0.0003651935069785561;0.0006197297756027828;0.005978352434958895;3.2582306759391944e-05;0.002076269685863691;0.001201620804063136;0.0005316940357658478;0.004611137287460286
1889.21627;0.0001845735324759023;0.005593506790194016;0.005242905871273074;0.007775460147954938;0.001150344091114086;0.012814115177784025;0.001135789724838493;0.00629955390437692;0.01618767729125646;0.004405750142080941;0.00034746342682492534;0.009920708824898816;0.003279246458454968;0.000806399518672285;2.990153940102963e-05;0.06452017750097977;0.03863511880495046;0.0001442566067837714;0.0015392193976965854;0.0004553726283962056;0.007669092684502665;0.00741657280701935;0.0005663930386252403;0.0008951008536528804;0.011870440148434913;0.0033631760403518285;0.006859030929612375;0.002444309889239313;0.02100248568409757;0.04651611834493824;0.0023543748849322726;0.0017477762736347463;0.049249168396520604;0.059069392351536826;0.03759026119077259;0.029527769483908645;0.0015860931093986536;0.036431748745339304;0.04106402706119816;0.0001645486776606364;0.001625665083679749;0.0017799633422217187;0.0005149126592373654;0.0005972738750554402;0.005863901024485668;8.58783646880551e-05;0.0018263308009956597;0.0008336787320130101;0.0004307185776602149;0.004284965435098324
1888.25189;0.0003890070898731838;0.005427655722780748;0.0054578867862142555;0.007826625394428882;0.0009768058659023193;0.011952814595660999;0.0008503983304472273;0.004926109387407125;0.014627428808217435;0.005193657828923191;3.169597790070311e-05;0.008733280786231312;0.0029454544050111636;0.0006120704451334086;0.00010735604691308048;0.06164412296111105;0.03815752489392488;0.000572074120124659;0.0011826874452170663;0.00017478343237542493;0.008751602541216541;0.007655136754567901;0.00020927850432234107;0.001033453689376268;0.01026492431578746;0.001952284947644406;0.004740165433562343;0.0019232353062614213;0.01507373501267284;0.042200915691892604;0.001800319069791105;0.001152590108589785;0.04999511787849148;0.05895423868241495;0.03717391786670528;0.0290418876455035;0.0014318010388201796;0.0367355196346181;0.04213819901647031;0.0;0.001468906098724479;0.001887339368919265;0.000662909980741061;0.0005499352536188565;0.005736438587402831;0.00014001419712871;0.0015889759694271144;0.000538304680194196;0.0003430664279170728;0.003942614063435133
1887.28751;0.0007318036381620385;0.005179348787409176;0.005559769534935172;0.007577221436955328;0.0007600622700412452;0.010983750280232601;0.0005795828901636602;0.0037455921480041635;0.013109729746761431;0.006433891788082631;0.0;0.007704021980481354;0.0025956867436761483;0.0004512802751559658;0.0002052232611890678;0.058516693396152564;0.037198570457238844;0.0010706452880167236;0.0008584112660764281;0.0;0.009652305165879393;0.007565102181218794;6.81752103617872e-06;0.0011527125139874084;0.008759728735217742;0.0009128848530946254;0.0031765617945201108;0.0015056316600062028;0.009817790739099164;0.03798138106690058;0.0013181524798998173;0.0006432418327290967;0.05134694889646968;0.05887926491181861;0.036887432095616554;0.02907891189443343;0.0012853089743111723;0.03688055096580714;0.04286500623067646;4.3323857212979044e-05;0.001249152452656506;0.001956837079716091;0.0008167527127984908;0.0004806585346560227;0.005604662700942786;0.00020228239170443085;0.0013536729432074845;0.0003204097170537712;0.0002700583333168291;0.003583367305404251
1886.32313;0.0011144431584323832;0.005060359459192164;0.0054022603319953955;0.006988005072761094;0.00052253706650493;0.009912054601018072;0.0003157511725581791;0.002850136831170455;0.011588677342772108;0.007960822056770574;0.00011123528122791021;0.0066633303912036895;0.0021687839619886906;0.0003139531527840411;0.00040674259744127167;0.05576473898893419;0.03598014741430544;0.0016038076103916665;0.0005668067272296129;3.39741192057208e-05;0.010185490404714892;0.007116447430481301;0.0;0.0012532253145476069;0.0071884472202244365;0.00029856876467129756;0.00202143155326584;0.0011676006836766964;0.005669993125547279;0.034005499866504196;0.0009040410482987066;0.0002563209001872069;0.05270991025424937;0.05874967882256013;0.03668605403805349;0.029688974297111176;0.0012469074304658906;0.03686574448146293;0.043057345312556616;0.0003396382906941109;0.0010525806453622263;0.0020152283921788874;0.0009789499084288666;0.00039555878420837604;0.00543287653182789;0.00027492682333617874;0.0011088789147210704;0.00018262169409830054;0.00020250463097769983;0.0031596009686316526
1885.35876;0.0014198296631837796;0.0052788455659707745;0.0050614471904395775;0.006390272750919107;0.00042400837772943456;0.008829364699473485;0.00011400752518807289;0.0021763657781245643;0.010056455285937058;0.009716756890297863;0.000347161007083447;0.005708777146929772;0.0016596916965303798;0.00019747742435474724;0.0007960828239999898;0.053841968942220764;0.035341879811556065;0.00217490693278663;0.00036739442637540726;0.00020482210121264277;0.010360081972546564;0.006506479165276746;0.00017166271740934325;0.0014118279037985404;0.005548862465779014;3.7012008187731205e-06;0.0009408955156448573;0.0008722411964454599;0.0026529164558569684;0.030519739045539174;0.0005502412737941886;2.9528515556834223e-05;0.05353039072881227;0.05840301748963578;0.03650989716906235;0.03043911241401301;0.0012273254348328239;0.03670890976514837;0.042672744330303825;0.0007946386210965495;0.0008225051622251789;0.0019851298725529695;0.0011133808240829657;0.0002845623094365618;0.005215717859980623;0.00032607126629640576;0.0008333441167467232;6.885105936391134e-05;0.00012067960176667669;0.0026403208433401423
1884.39438;0.0017326670221296716;0.00576259644197934;0.0044613874445428026;0.005962444666718636;0.00046624163889608106;0.007832802570338332;0.0;0.00172293093301025;0.008628529603048052;0.011876267622613977;0.0008329048288915515;0.005000834736167636;0.0011445218828476378;0.00010542467952480428;0.0013417919748311066;0.05294656949072979;0.0354296163215132;0.0027278375386137546;0.0002682922114139799;0.00034153104539755286;0.01010197533159135;0.005812022621314167;0.0004779013653365971;0.001590951707613586;0.00394791120145821;0.0;0.00017586574663486232;0.0006046937684287615;0.0007444101364835198;0.027925397652648565;0.00028846478624453;0.0;0.05369125815998588;0.05778403491121087;0.03623691423341875;0.031259100737953543;0.0011910329442185313;0.03657659594901416;0.042133294056510284;0.0012948145108778453;0.0005949907108916408;0.0018766306931543297;0.0011969749945097002;0.0001597044027331282;0.004994536511290948;0.0003763450790758155;0.0005508222500880955;0.0;4.136827274001803e-05;0.0021119545403136056
1883.43;0.002140249569438927;0.006431276686019789;0.0037699133093818393;0.005704153373202542;0.0005212273236189779;0.006971611825431018;3.7690316869051776e-05;0.001642964553516646;0.007532547899078368;0.014531921593447142;0.001581601759094168;0.004536530181501741;0.0006979133032508911;4.102121214920318e-05;0.0020014644182890853;0.053860433989156076;0.035924247053607083;0.0032761351486580922;0.0002318018569485089;0.000384349535498707;0.009362258490019981;0.005087956593163495;0.000925168349863531;0.001765107685439249;0.002546809169824471;0.0001421335906302834;0.0;0.0003677308736928023;0.0;0.02651120557275305;0.00012519009380574514;0.00012363370598605927;0.05319470427718864;0.056935470489385465;0.035809590692817014;0.0324962915850209;0.0010881366830674116;0.036637993959436815;0.04169488288348977;0.0017060781469863395;0.0003975632665797549;0.0017512433088637813;0.0012012991581343835;4.831467642340409e-05;0.0048418806994576236;0.0004809101754723738;0.00028613372187850927;2.6867904037053414e-05;0.0;0.0016421106414008964
1882.46562;0.00262825388529081;0.007333696849027512;0.003065990977999311;0.0055822346602824036;0.0004994252982628983;0.006195144437733835;0.00012737523119041305;0.0018247884737610243;0.006678869079519825;0.017369187874149095;0.0024820038114799353;0.004133713252905444;0.0003766922480028939;8.806890499438169e-06;0.002747620240498315;0.05669205039607805;0.03655796221837998;0.0038622639882643986;0.00021570115833587783;0.0004628892413287844;0.008079791299317962;0.004400126323188369;0.0014667583703062426;0.0019547807820768093;0.0014431307445944563;0.0002998409986698092;0.0002844896955113696;0.00015344399895273614;0.0003400870499180586;0.026345263717308887;2.7508737966051855e-05;0.00034291602199316984;0.051910266832567276;0.05584543170007378;0.0352794010885097;0.03412068690010803;0.0009179388437092206;0.03690281001125148;0.04137913336452731;0.002000688030805081;0.0002261823194085466;0.0016495728990739214;0.001163363851918356;0.0;0.00480243560729271;0.0006774779492649055;9.238892061473603e-05;0.00021310909078228746;2.192543039736955e-05;0.001236557295524618
1881.50124;0.0030842482796818813;0.00838254144834227;0.002312353483429952;0.005399500869219892;0.0003458749794746363;0.005462093059382583;0.0001543137173507375;0.001962134388593266;0.005956178316231464;0.020078691939748324;0.003547983139149738;0.0036488220611862465;0.00018118448073738136;0.0;0.003395800826993499;0.06033896020530205;0.037280269068901584;0.004376775926776787;0.00017584332586155493;0.0005201162974774742;0.006029970506708948;0.003682081998041889;0.0018600860082623738;0.002021096201175021;0.0006368113686463506;0.0005279694205582719;0.0008544060762179229;0.0;0.0018378169651738219;0.027347142266220703;0.0;0.0006523202051626209;0.04992177078520099;0.054503438384331665;0.03476230374622773;0.03548755176880172;0.0006423507406154438;0.036969289894188156;0.040834260198786165;0.00207017560659839;7.163834782694667e-05;0.001647197117086413;0.0011493102802588306;6.012964817826011e-05;0.004864296588853567;0.0009914019845123911;0.0;0.0005970384976702603;0.0001337646665417122;0.0009395347175895664
1880.53687;0.003621620116705526;0.009519666199746507;0.001839492035557555;0.005472511812075781;0.00021018713019811675;0.004862914913616817;0.00025871359560548923;0.0021394739739783453;0.005490684521388067;0.02281355124657678;0.004997954171268491;0.003288639657463871;6.942386345282214e-05;1.7831572225082692e-05;0.003844756758538022;0.06400714087025361;0.03785455187797221;0.004743830632937304;8.390839036435255e-05;0.00046383023323701145;0.003669388254017414;0.003017494579282673;0.0019464451739658606;0.001979304265233961;0.00011897445970077136;0.0009611793689735804;0.00168132859679887;1.1809038697185859e-06;0.004468917504342529;0.02954534291160954;7.102798028688073e-05;0.0010395336127874688;0.04758718786433602;0.05304599870790347;0.03439210802912597;0.0365825975476379;0.0003252605624758237;0.03689397900591121;0.040075803814186906;0.0019398787356618707;0.0;0.001718818487437504;0.0012582981463922088;0.00020893703891334409;0.004989166947635515;0.001391603511009483;1.3070947039756087e-05;0.0011082986311086174;0.0002909841737600838;0.0007584083591127035
1879.57249;0.004235506080885689;0.010608453343300212;0.0016798962859289057;0.0058043248378205625;0.0001417637765991353;0.004384884090865737;0.00044953354642543464;0.00249673952725471;0.0053111836826916226;0.025654287925800753;0.0067786921498565605;0.0031509198350896522;3.002986513069017e-05;6.894481097929894e-05;0.00423900130698112;0.06785978327060038;0.03852597526423601;0.005236525601497191;0.0;0.00042541121334926935;0.0018026074080288446;0.0025639564278697458;0.001789020133080771;0.002017940022217779;0.0;0.001619955658462513;0.002847186370525029;0.00011297455648092564;0.007274259057710952;0.03221183627821156;0.00021924111281057534;0.0014130508644854406;0.04527138840486572;0.05162096068249125;0.0341045746707324;0.03759742207473529;0.0001126749512591757;0.0371493355205951;0.039491939272305376;0.0018934384059093312;0.00013571024532090664;0.0016835940357039086;0.0014948645851516895;0.0004005259573172937;0.0050918839907435065;0.001828975782429021;0.00010258754048847463;0.0016364594109961328;0.0004524911997848616;0.0006544104036371942
1878.60811;0.004877696286213448;0.011569159536004087;0.0017646453228697956;0.005945843485439972;7.041333578119979e-05;0.003951645853213948;0.0006860648861262975;0.0028832127098728857;0.005319024396926983;0.02841619328835141;0.00867396810176882;0.0030796142087524403;2.6047776920612442e-05;0.0001473399358893901;0.004722349848380526;0.07220894057196492;0.03999467061477768;0.006028428588776884;2.219002928337266e-05;0.0005594813107912544;0.0006870125433589003;0.0023447521046520564;0.0015333060946041421;0.0021713844785423153;0.00013236919876080666;0.0023327280429241426;0.0038817866771179432;0.0002447386492415507;0.009220517952911456;0.03424036268901631;0.000406041818805776;0.0016880040931831208;0.04317982079781807;0.05024424924157983;0.033833434792674436;0.0382901330644225;0.0;0.03774862758198996;0.039100397606115556;0.0019671671416285896;0.0004144997252565341;0.001417471706926715;0.001753412932439788;0.0005728114375123661;0.005109631898399719;0.0022773127576752802;0.00020831496682312267;0.0020636207704115006;0.0006113272463298333;0.000578532277371209
1877.64373;0.005794116677704514;0.012588804645468112;0.0021462916170289503;0.0060778128507141815;3.276775239498264e-05;0.0035820833128269725;0.0009697405299543271;0.0032515124687449923;0.005367477147388888;0.031056769706142857;0.010512181298018307;0.0029668581696480484;4.512818027829768e-05;0.0002518464461813419;0.005155902215268203;0.07631186725835037;0.04179220856517901;0.006997223930807525;8.79631862134439e-05;0.0009155741423522157;0.0004240813865531434;0.0023583035596845547;0.0013579664852263196;0.002446277925895357;0.0002985147750567685;0.003081238580444623;0.004367345410371037;0.00036552581026597086;0.009614592405687516;0.035573304137431816;0.0006174106065903115;0.0018596760444388183;0.04134557667963684;0.049010595194754536;0.03360399772975957;0.03846925443555313;9.352345411675622e-06;0.038616164518259416;0.038665572865071496;0.002082166995361706;0.0007835734961961979;0.0009482008587305205;0.0019756818533206155;0.0007180090575506573;0.005052596326561548;0.002712267296980979;0.00033384631776084417;0.0023655030839511704;0.0007779514320775185;0.0005177527579260065
1876.67935;0.007081596545339368;0.01373025773005056;0.0025051310572322127;0.006160250504647413;4.754396446413067e-06;0.0032318781446510347;0.0012753835151845944;0.0035970148988956688;0.0053379953459646995;0.03364914852027399;0.012207453359460885;0.002816035847376358;0.000107278584844675;0.0003787873680979881;0.005346411516126089;0.07920950951918337;0.04298646301037562;0.007871487931998579;0.00011513038060691899;0.0012873245755649632;0.0003807852179147919;0.0024042261974914353;0.0013357455028357446;0.002699386192524994;0.0006331579011547017;0.0042398908519737655;0.004874569874837115;0.0006148729873613409;0.009478249407916417;0.03687304496177368;0.0008958664656531015;0.001989705756740512;0.039904256296749985;0.04800991912715652;0.033383911557519144;0.03814534031793329;0.00022405219039814406;0.039722530870708234;0.038191124669558485;0.0023165034358202663;0.001250397029886989;0.00048286624753518526;0.00223044986511807;0.0008560846679213363;0.004979975523233787;0.0031419129432293663;0.0005073199961270064;0.002577104166278682;0.0009845703190280997;0.00050369901354071
1875.71498;0.008796586844855863;0.01502192257387416;0.002658858195773106;0.005960616295747512;0.0;0.0028567802964595823;0.0016899189367411138;0.0038811202147848167;0.0051681733807828895;0.036195757475550275;0.013804338772330851;0.002655040349409929;0.00019974451691283368;0.0005182429356382079;0.0054129846300118925;0.08077422347556018;0.04306218175428028;0.008486037793698782;0.00010663943734944004;0.0016340801892383017;0.0001431203756794286;0.0024012305712939885;0.0015135258380641614;0.0028276573932725924;0.0011349511860391792;0.006163084069630953;0.005955647474537418;0.001099410724874135;0.009880570153083523;0.03841937137312201;0.001262384521337638;0.002163037307374119;0.03877652596293585;0.047256631252659026;0.03316544897310435;0.037764667578649797;0.0006881389807708582;0.04090889494661834;0.037840394772647;0.002690859472752022;0.001797237855690588;0.00017156290727368684;0.0025203382454896395;0.0009771151193120609;0.0049269104275351805;0.0035541613776466363;0.0007042636756440651;0.002671258062014459;0.001213223459775481;0.0005006203892425551
1874.7506;0.010850787647729671;0.01657160011374426;0.0026865896167799774;0.00550369570870482;9.857097299728612e-05;0.0024433899164042483;0.002248786262214711;0.004011099321074206;0.004757354327895785;0.038515604063599954;0.015156107020814567;0.002359825927579412;0.00027522922899982094;0.0006594570144359824;0.005545725598427274;0.08138926964879245;0.042398115852245344;0.00887179070099562;0.00010053682507252942;0.0020365199299083314;0.0;0.002490157504854887;0.0018886212402806635;0.0030126273872892184;0.0015384855045180723;0.008308127368528428;0.006815261760503205;0.00162213745613176;0.00993795872398262;0.03967193577660033;0.0016548847546231232;0.0023627985468646917;0.037677208361438896;0.046640833183276886;0.03294315684521766;0.037345340580589;0.0013259974721844536;0.04209775542112418;0.03755882421548956;0.0031803662431318935;0.0023265081881079577;3.5058653365324655e-06;0.0027839032490840493;0.0010617943331578325;0.004829755653623979;0.003903238661868154;0.000879202285402586;0.0026488866715985993;0.0014413342034435145;0.00043008193295033387
